Date,URL,News Title,News Abstract,News Content
2024-08-01,https://www.nytimes.com/2024/08/01/technology/intel-layoffs-quarterly-report.html,"Intel Will Cut Over 15,000 Jobs Amid Struggles to Turn Itself Around",The Silicon Valley chip maker also reported a net loss and declining revenue in the latest quarter.,"Intel, the Silicon Valley chip maker, said on Thursday that it would slash more than 15,000 jobs to aid a turnaround plan, as the company tries to recover after a series of stumbles."
2024-08-06,https://www.nytimes.com/2024/08/06/technology/nvidia-antitrust-scrutiny.html,"As Regulators Close In, Nvidia Scrambles for a Response","With a 90 percent share of the A.I. chip market, the company is facing antitrust investigations into the possibility that it could lock in customers or hurt competitors.","Nvidia rocketed to the top of the tech industry by providing the computer chips essential to building artificial intelligence. By the end of last year, it had more than a 90 percent share of those chips sold around the world."
2024-08-15,https://www.nytimes.com/2024/08/15/business/dealbook/economy-inflation-election.html,The Economy Moves to Center Stage in the Election,Inflation is cooling but hiring is slowing as Kamala Harris and Donald Trump fine tune their pitch to voters.,"As Vice President Kamala Harris hits the road to start spelling out her economic agenda, she could point to recent progress in the inflation fight that has hounded the Biden administration and Democrats for the past two years."
2024-08-20,https://www.nytimes.com/2024/08/20/dining/costco.html,How Costco Hacked the American Shopping Psyche,More than 100 million people visit the retailer for their groceries — and gas and TVs and gold bars and pet coffins — but saving money may not be the only motive.,"When it opened in 1984, the Costco on West Dimond Boulevard in Anchorage did not seem like the future of food. A glorified shed the color of stale coffee, the warehouse offered the sort of products and deals Alaskans go crazy for: mammoth quantities of staples like peanut butter and tomato sauce, along with local favorites such as caribou sausage. The state’s extreme environment and the need to travel hours or even days for groceries made it a hit right off the bat."
2024-08-28,https://www.nytimes.com/2024/08/28/technology/nvidia-earnings-ai-stocks.html,Nvidia Revenue Jumps 122% in Positive Sign for Tech’s A.I. Boom,Expectations for the chipmaker have been through the roof because of its dominance in a key component for artificial intelligence systems.,"This summer, Wall Street and Silicon Valley began to question whether generative artificial intelligence could produce enough benefits to justify its staggering costs."
2024-09-13,https://www.nytimes.com/2024/09/13/business/nvidia-stock-market-ai.html,Nvidia Holds the Key to the Market. But Is It Worth This Much?,"One of the hazards of buying individual stocks is that their current price may have little to do with their fundamental value, our columnist says.","Nvidia designs most of the advanced chips that power artificial intelligence, and that has made it an earnings machine, producing astonishing profits that have buoyed the entire stock market."
2024-09-16,https://www.nytimes.com/2024/09/16/technology/smic-china-us-trade-war.html,The Chinese Chipmaker at the Heart of the U.S.-China Tech War,"Efforts by the Beijing-backed Semiconductor Manufacturing International Corporation, or SMIC, to break through innovation barriers have landed it in a geopolitical tech battle.","In a sprawling factory in eastern Shanghai, where marshy plains have long since been converted into industrial parks, China’s most advanced chipmaker has been hard at work testing the limits of U.S. authority."
2024-09-25,https://www.nytimes.com/interactive/2024/09/25/us/politics/usss-hsgac-interim-report.html,Read the Senate committee report,A Senate committee report on the Secret Service’s inability to protect the former president at a July event,A Senate committee report on the Secret Service’s inability to protect the former president at a July event
2024-10-24,https://www.nytimes.com/2024/10/24/technology/intel-ai-chips-mistakes.html,How Intel Got Left Behind in the A.I. Chip Boom,Intel was for decades Silicon Valley’s dominant chip company. But missed opportunities and poor execution left it on the sidelines in tech’s latest gold rush.,"In 2005, there was no inkling of the artificial intelligence boom that would come years later. But directors at Intel, whose chips served as electronic brains in most computers, faced a decision that might have altered how that transformative technology evolved."
2024-10-24,https://www.nytimes.com/2024/10/24/us/politics/intel-chips-biden.html,The White House Bet Big on Intel. Will It Backfire?,"A plan to revive U.S. chip manufacturing rests partly on a company that is firing workers and delaying factories, even as the government pushes for the opposite.","At an annual gathering of tech executives and billionaires in Sun Valley, Idaho, this past July, Gina Raimondo commandeered a table near a duck pond and tried to exert her influence as the U.S. secretary of commerce to help rescue an ailing national champion."
2024-10-31,https://www.nytimes.com/2024/10/31/technology/intel-earnings-loss.html,"Intel Posts $16.6 Billion Quarterly Loss, Its Biggest Ever",The Silicon Valley chip maker has struggled to turn around its fortunes after missing opportunities and poor execution.,"Intel on Thursday posted the biggest quarterly loss in its 56-year history, as the onetime highflying chip maker struggles to turn itself around."
